id,name,type,url,description
n001,CancerCare — Financial Assistance & Counseling,mental,https://www.cancercare.org,"Free professional counseling, support groups, and limited financial assistance for treatment-related costs including transportation and childcare."
n002,Patient Advocate Foundation — Copay Relief Fund,financial,https://www.patientadvocate.org,"Helps cover insurance co-pays, co-insurance, and deductibles for cancer patients actively receiving treatment."
n003,HealthWell Foundation — Premium & Copay Assistance,financial,https://www.healthwellfoundation.org,"Helps cancer patients pay for health insurance premiums, co-pays, and other out-of-pocket costs so they can stay insured during treatment."
n004,American Cancer Society — Road To Recovery,transportation,https://www.cancer.org,Volunteer-driven transportation program giving cancer patients free rides to and from treatment appointments across the U.S.
n005,Joe's House — Lodging Near Treatment Centers,housing,https://www.joeshouse.org,"Searchable directory of lodging options near cancer treatment centers across the U.S., many at reduced rates or free for patients and families."
n006,NeedyMeds — Prescription Assistance Finder,medication,https://www.needymeds.org,"Connects cancer patients to prescription assistance programs, free clinics, and drug discount cards to lower medication costs nationwide."
n007,Cancer Legal Resource Center,legal,https://cancerlegalresources.org/,"Free legal information and referrals for cancer patients facing employment discrimination, insurance denials, and disability issues."
n008,Meals on Wheels — Cancer Patient Support,nutrition,https://www.mealsonwheelsamerica.org,Home-delivered meals for cancer patients who are unable to prepare food during treatment. Contact your local chapter for availability.
n009,Children's Cancer Fund,pediatric,https://www.childrenscancerfund.com,"Provides financial assistance, research funding, and family support for children diagnosed with cancer across the United States."
n010,VA National Oncology Program — Veterans Cancer Benefits,veterans,https://www.cancer.va.gov,"Comprehensive cancer care, treatment funding, and support services for U.S. military veterans diagnosed with cancer."
n011,Family Reach — Emergency Financial Assistance,financial,https://www.familyreach.org,"Emergency financial assistance for families with children or young adults impacted by cancer, covering rent, utilities, and treatment costs."
n012,Cancer Cartel — Living Expense Grants,financial,https://www.cancercartel.org,"Grants for unmet living expenses including housing, food, travel, and childcare for cancer patients in active treatment or recently completed treatment."
n013,PAN Foundation — Underinsured Patient Assistance,medication,https://www.panfoundation.org,Helps underinsured cancer patients afford their medications and treatment-related out-of-pocket costs through disease-specific assistance funds.
n014,CancerCare Co-Payment Assistance Foundation,financial,https://www.cancercare.org/copayfoundation,"Covers insurance co-payments for cancer medications, helping patients access the treatments their doctors prescribe without financial barriers."
n015,Triage Cancer — Legal & Financial Navigation,legal,https://www.triagecancer.org,"Free educational resources and tools to help cancer patients navigate insurance, employment rights, disability benefits, and financial planning."
n016,American Cancer Society — Hope Lodge,housing,https://www.cancer.org/treatment/support-programs-and-services/patient-lodging/hope-lodge.html,Free lodging for cancer patients and caregivers who must travel far from home to receive treatment at nearby medical facilities.
n017,Livestrong — Benefits Navigation & Financial Guidance,financial,https://www.livestrong.org,"Free one-on-one support navigating disability benefits, insurance appeals, and financial assistance programs for cancer patients and survivors."
n018,211 National Helpline — Local Cancer Support Referrals,financial,https://www.211.org,"Free national helpline connecting cancer patients with local food banks, housing assistance, transportation, and financial support programs."
n019,SNAP (Food Stamps) — Food Assistance During Treatment,nutrition,https://www.fns.usda.gov/snap,Federal program providing monthly food benefits on an EBT card for low-income cancer patients and families who struggle to afford groceries.
n020,Social Security Disability Insurance (SSDI),financial,https://www.ssa.gov/disability,Monthly income benefits for cancer patients who can no longer work due to their diagnosis or treatment side effects.
n021,Ronald McDonald House — Family Lodging,housing,https://www.rmhc.org,"Free or low-cost lodging for families of children receiving cancer treatment at nearby hospitals, keeping families close during treatment."
n022,Cancer Financial Assistance Coalition (CFAC),financial,https://www.cancerfac.org,A coalition of organizations that helps cancer patients find and navigate financial assistance programs across the United States.
n023,Allyson Whitney Foundation — Young Adult Cancer Grants,financial,https://www.allysonwhitney.org,"Financial grants for young adults ages 16–36 with cancer covering medical bills, rent, utilities, and insurance premiums."
n024,LIHEAP — Low Income Home Energy Assistance,financial,https://www.acf.hhs.gov/ocs/programs/liheap,Federal program helping low-income cancer patients pay heating and cooling bills and avoid utility shutoffs during treatment.
n025,Good Days — Chronic Illness Treatment Assistance,financial,https://mygooddays.org/,"National nonprofit helping cancer and chronic illness patients afford life-saving medications and treatments they otherwise could not access, with 93% of every dollar raised going directly to patients."
bc001,Susan G. Komen Foundation — Financial Assistance,financial,https://www.komen.org,"Direct financial assistance for breast cancer patients covering treatment co-pays, transportation, childcare, and other costs during active treatment."
bc002,Living Beyond Breast Cancer — Financial Grants,financial,https://www.lbbc.org/about-breast-cancer/financial-matters,One-time grants for basic living expenses to help decrease financial burden for breast cancer patients in active treatment.
bc003,Breastcancer.org — Peer Support Community,mental,https://www.breastcancer.org,"Free online community and helpline connecting breast cancer patients with others who have been through similar experiences, available 24/7."
bc004,Roche — Herceptin Patient Assistance Program,medication,https://www.genentech-access.com,Free or reduced-cost Herceptin (trastuzumab) for HER2-positive breast cancer patients who cannot afford their medication.
bc005,The Pink Fund — Non-Medical Cost of Living Support,financial,https://pinkfund.org/,"Covers 90 days of non-medical living expenses such as mortgage, rent, utilities, and insurance premiums for breast cancer patients in active treatment."
bc007,Pink Aid — Breast Cancer Financial Assistance Grants,financial,https://pinkaid.org/apply-for-a-grant/,"Provides financial assistance grants and support services for breast cancer patients in Connecticut and Long Island, NY, covering treatment costs, transportation, mammograms, and other needs."
lc001,LUNGevity Foundation — Financial & Emotional Support,financial,https://www.lungevity.org,"Grants, peer mentoring, and support resources specifically for lung cancer patients and their families at any stage of diagnosis."
lc002,Lung Cancer Foundation of America — Patient Support,financial,https://www.lcfamerica.org,"Financial assistance, educational resources, and clinical trial guidance for lung cancer patients and families across the United States."
cc001,Colorectal Cancer Alliance — Financial Assistance,financial,https://www.ccalliance.org,"One-time financial grants of up to $200 for household bills, childcare, transportation, or food for colorectal cancer patients in need."
cc002,Meredith's Miracles — Young Adult Colon Cancer Aid,financial,https://www.merediths-miracles.org/what-we-do,Financial assistance for daily living expenses for young adults currently fighting colon cancer to help them focus on treatment.
pc001,ZERO Cancer — Prostate Cancer Patient Support,financial,https://www.zerocancer.org,"Copay assistance, free PSA screening locations, and financial support resources specifically for prostate cancer patients across the U.S."
pc002,Angel Foundation — Prostate Cancer Living Expense Aid,financial,https://mnangel.org,"Financial assistance for prostate cancer patients covering non-medical living expenses such as food, gas, utilities, and rent or mortgage."
ll001,Leukemia & Lymphoma Society — Patient Aid Program,financial,https://www.lls.org,"Financial assistance for treatment costs, co-pays, and travel expenses for patients with blood cancers including leukemia, lymphoma, and myeloma."
ll002,International Myeloma Foundation — Patient Support,financial,https://www.myeloma.org,"Disease education, financial assistance resources, and a nurse helpline specifically for multiple myeloma patients and their caregivers."
panc001,Pancreatic Cancer Action Network — Patient Services,financial,https://www.pancan.org,"Financial grants, clinical trial matching, and one-on-one support from trained specialists for pancreatic cancer patients."
panc002,Hirshberg Foundation — Pancreatic Cancer Patient Aid,financial,https://www.pancreatic.org,"Grants for pancreatic cancer patients covering transportation, treatment costs, pain medication, home care, and childcare expenses."
oc001,National Ovarian Cancer Coalition — Financial Assistance,financial,https://www.ovarian.org,"One-time grants of up to $1,000 for non-medical expenses related to treatment and care for ovarian cancer patients."
oc002,OvarCare — Ovarian Cancer Patient Grants,financial,https://ovarcome.org/ovarcare,"Financial grants including a $200 cash grant, $100 gas card, and $100 grocery card, plus optional counseling for ovarian cancer patients."
brain001,National Brain Tumor Society — Patient Resources,financial,https://www.braintumor.org,"Financial assistance navigation, support groups, and educational resources for brain tumor and CNS cancer patients and their families."
mel001,Melanoma Research Foundation — Patient Support,financial,https://www.melanoma.org,"Financial support resources, clinical trial information, and peer support connections for melanoma patients and families."
sar001,Sarcoma Foundation of America — Patient Grants,financial,https://www.curesarcoma.org,Research funding and direct patient support grants for sarcoma patients facing financial hardship during treatment.
thy001,ThyCa — Thyroid Cancer Patient Support,mental,https://www.thyca.org,"Free educational resources, support groups, and financial assistance navigation for thyroid cancer patients and survivors."
meso001,Mesothelioma Applied Research Foundation,financial,https://www.curemeso.org,"Patient support, financial assistance navigation, and disease education for mesothelioma patients and their families."
rare001,Lois Merrill Foundation — Rare Cancer Medical Grants,financial,https://www.thelmf.com/help,"Medical assistance grants of up to $2,000 for patients in the U.S. diagnosed with a rare cancer, based on financial need. Applications open in May each year with a June 30 deadline."
blad001,Bladder Cancer Advocacy Network — Patient Support,mental,https://www.bcan.org,"Educational resources, peer support connections, and financial assistance navigation specifically for bladder cancer patients and their caregivers."
blad002,PAN Foundation — Bladder Cancer Assistance Fund,financial,https://www.panfoundation.org/disease-funds/bladder-cancer,"Financial assistance of up to $3,400 per year to help bladder cancer patients afford their medications and treatment-related out-of-pocket costs."
hn001,Head and Neck Cancer Alliance — Patient Resources,financial,https://www.headandneck.org,"Financial assistance navigation, support groups, and educational resources for head and neck cancer patients and their families across the U.S."
hn002,Support for People with Oral & Head & Neck Cancer (SPOHNC),mental,https://www.spohnc.org,"Peer support network, educational resources, and financial assistance referrals for patients with oral, head, and neck cancers."
kid001,Kidney Cancer Association — Patient Support,financial,https://www.kidneycancer.org,"Financial assistance resources, peer mentoring, and educational support for kidney cancer patients and their families in the United States."
